a bad lot,калпазанин
bishop,владика/епископ
bissextile,високосен
bit,парченце/късче/малко количесво/хапех/захапвах
bitch,кучка/курва
bitchwolf,вълчица
bite,хапя/захапвам/лютя/щипя/попарвам/разяждам/закачам се/ухапване/попарване
biting,остър/лют/язвителен/хаплив
bitter,горчив/остър/злобен/болезнен
bitterness,горчивина/ожесточеност
bitumen,зифт/смола
bivouac,бивак/разполагам се на бивак
bizarre,странен/чудат
blab,бъбря/раздрънквам/издавам тайна/дрънкало/дърдорко/бърборене
black,черен/тъмен/мрачен/вакса/сажди/боядисвам черно
black death,чума
black guard,негодник/ругая
black sheep,негодник
blackamoor,негър
blackberry,къпина
blackbird,кос
blackboard,черна дъска
blacken,черня/клеветя/почернявам
blacking,черна боя/вакса
blacklead,графит
blackmail,изнудвам/шантажирам/изнудване
blackmailer,изнудвач
blackness,чернота/тъмнина
blacksmith,ковач
blacky,черен/негър
bladder,мехур/бърборко
blade,стрък трева/острие
blain,пришка/цирей
blame,обвинявам/упрек/порицание/вина/отговорност
blanch,беля/побледнявам/калайдисвам/излъсквам
bland,учтив/ласкав/приятен/мек/слаб/ироничен
blandish,лаская/предумвам чрез ласкателство
blandishments,примамки
blank,празен/озадачен/празно място
blanket,одеяло/покривам/общ/пълен
blankly,безучастно/без изражение/направо/твърде/крайно
blankness,пустота/смущение
blare,тръбя/гърмя/гърмене
blaspheme,богохулствам/хуля
blasphemy,богохулство
blast,силен вятър/взрив
blasting,пагубен/избухлив/взривен/гибел/повреждане/разбиване с динамит
blatant,досаден
blaze,ярък пламък/пламтя/сияя/белег/следа/маркирам/разтръбявам
blazer,спортна фланелка/жилетка
blazing,ярко пламтящ/явен/очевиден
blazon,герб/емблема/прослава/украсявам с емблема
blazonry,хералдика
bleach,избелвам/избелявам
bleak,пуст/мрачен/открит/суров
bleakness,голота/откритост/пустота/мрачност/безрадостност
blear,замъглен/неясен/замъглявам
bleat,блея/блеене
bled,кървях/страдах
bleed,кървя/пускам кръв/тече кръв/страдам
bleeding,кръвотечение/кръвопускане
blemish,недостатък/петно/позор/повреждам/накърнявам/петня/позоря
blench,дръпвам се назад/трепвам/затварям си очите
blend,смесвам/преливам се/смес/съчетание
bless,благославям/дарявам
blessed,блажен/щастлив/проклет
blessing,благословия/благодат/блаженство/молитва преди или след ядене
blether,празни приказки/глупости/дрънкам празни приказки
blew,духах/вях
blight,болест по растенията/главня/ръжда/задушна атмосфера/повреждам/попарвам
blind,сляп/нясен/необмислен/ослепявам/затъмнявам/транспарант/бленда
blindly,сляпо/безразсъдно
blindness,слепота/заслепение
blink,мигам/мъждукам/мигане/блясък
blinkers,наочници
bliss,блаженство
blister,пришка/мехур/изприщвам се/отегчавам
blithe,весел/жив/игрив
blitz,светкавична война/въздушно нападение
blizzard,виелица
bloat,подувам се/подпухвам
blob,капка/топчица/петно
bloc,политически блок
block,блокирам/препречвам/пън/блок/ешафот
blockade,блокада/блокирам
blockhead,дръвник/тъпак
blockish,тъп/глупав
bloke,човек/момче
blond,рус/блондин(ка)
blood,кръв/темперамент/произход/пускам кръв
blood transfusion,преливане на кръв
bloodshed,кръвопролитие
bloodshot,кървясал/зачервен
bloodsucker,пиявица/кръвопиец
bloody,проклет/кървав/отвратителен
bloom,цвят/разцвет/цъфтеж/цъфтя/разцъфвам
bloomer,груба грешка
bloomers,дамски спортни гащета
blossom,цвят/цъфтя/разцъфтявам(се)
blot,петно/дефект/цапам
blot out,заличавам/затривам/попивам/скривам напълно
blotch,пришка/петно
blotchy,на петна
blotting paper,попивателна хартия
blouse,блуза
blow,удар/сблъскване/духам/вея/раздухвам/разходка/цъфтя/цвят/разцвет
blow in,довтасвам
blow out,изгасям/духвам/стопявам се
blow over,преминавам/отминавам/разминавам се/събарям
blow up,взривявам/увеличавам
blow upon,лишавам от свежест/очерням/оклеветявам
blown,духан/раздухван/цъфтящ
blubber,китова мас/плач/рев/плача с глас/рева
blue,син/мрачен/потиснат/боядисвам синьо/разпилявам
blue study,мрачни размисли/неприличен език/консервативен
bluff,блъф/блъфирам/измама/заблуждавам/отвесен/открит/скала/нос
bluffer,измамник
blunder,глупава грешка/обърквам/греша
blundering,неловък/несръчен/погрешен
blunt,тъп/глупав/рязък/откровен/притъпявам
blur,петно/неясни очертания/порок/дефект/зацапвам/замъглявам/опетнявам
blurt,изтървавам/не премълчавам
blush,изчервявам се/изчервяване
bluster,вилнея/бушувам/рева/деребействувам/заплашвам/самохвалство
bo-peep,криеница
boar,глиган
board,дъска/борд/табло/качвам се на кораб
boast,хваля се/гордея се/гордост/самохвалство
boat,лодка/параход
bob,шилинг/момък/момче/топка/тежест/тапа
bob in,влизам
bobbin,бобина/макара
bobby,полицай
bobtail,хитрина/шмекерия/реверанс
bode,вещая/предвещавам
bode ill,не предвещавам нищо хубаво
bodefull,злокобен/зловещ
bodice,корсаж
bodily,телесен/физически/лично/изцяло/напълно/без остатък
bodkin,шило/губерка
body,тяло/маса
bog,блато/тресавище
bogey,дявол/призрак/плашило
boggle,стряскам се/сепвам се/колебая се/буткам се/извъртам
bogle,таласъм/плашило
bogus,фалшив
bogy,дявол/привидение/плашило
boil,вря/кипя/кипене/цирей
boil away,изпарявам се
boil down,сгъстявам/съкращавам/свеждам се
boil up,кипвам
boiled,варен/възврял
boiler,котел
boiling,кипене/врене/врял/кипящ
boisterous,шумен/буен/бурен
bold,смел/дързък/издаден
bole,ствол/стъбло
bolster,голяма възглавница/подпирам/поддържам/крепя
bolt,стрела/мълния/болт/винт/заключвам/избягвам/стягам/направо
bomb,бомба/бомбандирам
bombard,бомбардирам/обсипвам
bombast,бомбастичност/надутост/превзетост
bona fide,искрен/истински
bona fides,искреност
bond,връзка/спънка/споразумение/свързвам
bondage,робство/крепостничество/плен
bondman,крепостник/роб
bondwoman,крепостничка/робиня
bone,кост/кокал
bonfire,огън на открито
bonnet,боне/дамска шапка без периферия/детска шапчица/капак на автомобил
bonny,хубав/здрав
bonus,извънредно възнаграждение
boo,изразяване на неодобрение/дюдюкам
booby,глупак/тъпак
boodle,тълпа/сборище/пари за подкуп/игра на карти
boohoo,рев/силен плач/рева
book,книга/записвам/купувам/ангажирам
book of reference,справочник
book-keeper,счетоводител
book-keeping,счетоводство
bookcase,шкаф за книги/библиотека
booked,ангажиран/зает
booking-clerk,касиер на гиише
booklet,брошура
bookman,учен/търговец на книгии
bookseller,книжар
bookshelf,рафт за книги
bookshop,книжарница
bookstall,сергия/щанд за книги
bookstore,книжарница
boom,разцвет/бум/икономически подем/бумтя/преграда от греди
boon,предимство/услуга/дар/молба/добър/щедър/весел
boor,грубиянин/невъзпитан човек/дебелак
boost,подпомагам/рекламирам/повишавам напрежението/форсирам
booster,помощник/усилвател
boot,обувка/ботуш/багажник/обувам обувки/ритам/уволнявам/полза/печалба/помагам/ползвам
bootblack,ваксаджия
booth,будка/сергия/павилион/кабина
bootlace,връзка за обувки
bootless,безполезен
bootlicker,блюдолизец/подлизурко
bootmaker,обущар
boots,прислужник в хотел
boottree,калъп за обувки
booty,плячка
booze,ракия или друго силно питие/пиене/пиянство/пиянствувам
boozy,пиян
border,граница/край/ръб/гранича/приближавам се/обшивам
bore,носех/раждах/понасях/отегчавам/пробивам/сонда/досаден/отегчителен
boredom,досада/скука
boring,скучен/отегчителен
born,роден
born out of wedlock,извънбрачен
borough,град/градче/село
borrow,заемам/вземам пари на заем
bosh,глупости/безмислици/дразня/закачам
bosom,пазва/деколте/бюст/гърди/недра/пазя/скривам
boss,шеф/началник/ръководител/главен/отличен/разпореждам се/изпъкналост/топка
botany,ботаника
botch,кърпя лошо/карам през куп за грош
botch up,скалъпвам/скърпвам
both,и двамата/и двете
bother,безпокойство/безпокоя(се)
bottle,бутилка/буркан/наливам в бутилки/сноп/наръч
bottle up,скривам/прикривам/стъпвам на чувства/пипвам/хващам/залавям
bottled,хванат на тясно
bottom,дъно/основа/същност/основавам/проучвам/най-нисък/най-долен/основен
bottomless,бездънен/неоснователен
bough,клон
bought,купих/купен
boulder,валчест камък/балван
bounce,отскачам/подскачам/скок/подскачане/еластичност/внезапно
bouncer,самохвалко/лъжец/самохвалство/лъжа/голям човек или предмет
bound,на път за/граница/ограничавам/скачам/скок/свързан/задължен/връзвах
bound up in,зает/ангажиран с/силно заинтересован от/много привързан към
bound up with,тясно свързан с
boundary,граница/межда/синор
bounden duty,морално задължение
bounder,невъзпитан човек/грубиян
bounteous,щедър/обилен/изобилен/богат
bounteousy,щедрост/щедър дар/поощрение
bountiful,щедър/обилен/изобилен/богат
bouquet,букет/аромат на вино
bourgeois,буржоа/буржоазен
bourn,ручей/поток/граница/област/сфера
bourne,граница/област/сфера
bout,ред/опит/схватка/пристъп/пиянство
bovine,волски/тъп/бавен
bow,лък/дъга/покланям се/навеждам/поклон/нос на кораб
bow-legged,кривокрак
bow-string,тетива
bow-wow,джав-джав
bowel,черво/вътрешности/недра/състрадание
bower,беседка/сенчест кът/жилище/горница/будоар
bowie-knife,ловджийски нож
bowl,чаша/купа/паница/пиршество/огнище на лула/играя на кегли
bowl out,изкарвам от строя
bowl over,прекатурвам
bowler,бомбе
bowls,кегли
box,кутия/сандък/кабина/слагам в кутия/боксирам се/чемшир
box calf,бокс/хромова телешка кожа
box off,отделям с преграда
box up,затварям на тясно/забърквам
box wagon,товарен вагон
box-office,театрална каса
boxer,боксьор
boxihg,бокс/боксьорство
boy,момче
boyish,момчешки
brace,подпора/скоба/чифт/свързвам/стягам/подпирам/обхващам
bracelet,гривна
bracing,ободрителен/укрепителен/здрав
bracken,папрат
bracket,скоба/подпора/конзол/слагам в скоби/свързвам
brackish,блудкав
brag,хваля се/самохвалство/самохвалко
braggadocio,самохвалство/самохвалко
braggart,самохвалко
braid,ширит/плитка/сплитам/плета
brain,мозък/ум/интелект/разум
brain-fever,мозъчно възпаление
brain-pan,череп
brain-sick,умопобъркан
brain-storm,припадък/душевно сътресение
brainy,умен
braise,задушавам месо/задушено месо
brake,спирачка/спирам/папрат/храсталак/брана/чукам
bramble,къпина
bran,трици
branch,клон/отрасъл/филиал/разклонявам се
branch off,разклонявам се/отделям се
branch out,разпростирам се/отклонявам се
branchtimber,съчки/пускам клони
branchy,клонест/разклонен
brand,марка/сорт/качество/главня/жигосвам
brandish,размахвам
brandy,коняк/ракия
brash,куп отпадъци/чуплив/крехък/сприхав/избухлив/прибързан/нахакан
brass,месинг/пари
brassiere,сутиен
brat,дете/изчадие
bravado,самохвалство/предизвикателство/бабаитство
brave,смел/храбър/предизвиквам
brave it out,държа се предизвикателно
bravery,храброст/смелост/великолепие/премяна
bravo,бандит/наемен убиец/браво
brawl,шумна кавга/уличен скандал/шуртене на вода/карам се/викам/шурти
brawler,скандалджия
brawn,мускули/сила на мускулите
brawny,силен/мускулест
bray,счуквам/стривам/рев на магаре/рева
braze,споявам/бронзирам
brazen,бронзов/безсрамен/нахален/гледам нахално в лицето
brazen-faced,нагъл
brazier,мангал/металик/който работи с метал
breach,скъсване/нарушение/пробив/пробивам
bread,хляб/панирам
bread-stuffs,зърнени храни/брашна
bread-winner,който издържа семейство/печаловник
breadth,широчина/широта
break,чупя(се)/разбивам(се)/прекъсвам/прекъсване/почивка/цепнатина
break away,откъсвам се/избягвам
break down,разрушавам се/разсипвам си здравето/грохвам/изнемогвам/не издържам
break forth,избухвам
break in,намесвам се в разговор/опитомявам/дресирам/обездям
break into,влизам с взлом(насила)
break of day,разсъмване/грешка/погрешна стъпка/възможност/добър случай
break off,отчупвам се/прекъсвам
break out,излизам насила/избухвам
break the record,чупя рекорд
break through,пробивам си път/пробив
break up,разтурвам/разпръсвам/развалям(се)
break-down,изнемогване/упадък
break-neck,главоломен/опасен
break-up,разпадане/разтуряне/разруха/свършване на училище
break-water,вълнолом
breakable,чуплив
breakables,чупливи предмети
breakage,чупене/трошене/нещо счупено/авария/компенсация или отстъпка
breaker,буренце
breakfast,закуска/закусвам
breaking,чупене/разорана целина/разбиване
breast,гърди/гръд/боря се с
breastpocket,вътрешен джоб
breath,дъх/дихание/полъх
breath consonant,глуха съгласна
breath-taking,вълнуващ/смайващ
breathe,дишам/живея/вдъхвам/лъхам/ухая
breathe a vein,пускам кръв
breathe upon,опетнявам някого
breather,респиратор/противогазна маска/усилие/почивка
breathing,дишане/полъх/леко духане
breathless,задъхан/задъхващ се/неподвижен/съвсем тих
bred,отгледан/развъден/възпитан/отглеждах
breech,задница/задна част/панталони/брич
breech-sight,прицел/мерник
breed,отглеждам/развъждам/възпитавам/порода
breeder,гледач на добитък
breeding,развъждане/добро възпитание
breeze,бриз/повей/вея/подухвам/стършел
breezy,свеж/прохладен/весел/жив
brevity,краткост
brew,варя(бира)/запарвам(чай)/започвам/смесвам
brewage,варене
brewer,пивовар
brewery,бирена фабрика
brewing,пивоварене
bribable,подкупен
bribe,подкуп/рушвет/подкупвам
bribery,подкупничество/рушветчийство
brick,тухла/зазиждам/облицовам с тухли/тухлен
brick-bat,парче тухла
brick-field,тухларница
brick-kiln,пещ за тухли
brick-layer,зидар
brickwork,зидария/фабрика за тухли
bridal,сватбен/брачен/булченски
bride,булка/невеста
bridegroom,младоженец
bridesmaid,шаферка
bridewell,изправителен дом
bridge,мост/съединявам с мост/преодолявам
bridle,юзда/обуздавам
bridle up,вирвам нос/тръсвам глава
bridle-path,път за ездачи
bridle-rein,повод
brief,кратък/резюме/кратко изложение/досие/резюмирам/ангажирам адвокат
brief-case,чанта за книжа
briefing,инструктаж
briefless,който няма практика/без клиенти
briefly,кратко/накратко/наскоро
briefness,краткост/сбитост
brier,шипка
briery,бодлив
brig,двумачтов кораб
brigade,бригада/команда/групирам
brigand,разбойник/бандит
brigandage,разбойничество/бандитизъм
bright,светъл/блестящ/слънчев/весел/умен/ярко
brilliant,блестящ/прекрасен/брилянт
brim over,преливам
brimstone,сяра
brindled,шарен/пъстър
brine,саламура/солена вода/солен разтвор/слагам в саламура
brinepit,солник
bring,нося/донасям/довеждам/водя
bring back,връщам/донасям обратно/припомням
bring in,внасям/докарвам
bring off,спасявам/избавям/довеждам до успешен край
bring out,изразявам/показвам/извеждам/публикувам/изкарвам на бял свят
bring over,предумвам/спечелвам на своя страна
bring round,свестявам/спечелвам на своя страна
bring to,свестявам
bring to nought,свеждам до нула
bring to reason,вразумявам
bring under,подчинявам/отнасям
bring up,докарвам/възпитавам/отглеждам/поставям на разглеждане въпрос
brink,край/бряг
briny,солен
brisk,жив/оживен/бърз/свеж/пенлив
brisk up,оживявам се
bristle up,щръквам/наежвам се/ядосвам се/нервирам се
bristle with,изобилствам с
bristly,четинест/твърд/корав/бодлив
brittle,крехък/чуплив
broach,шиш/свредел/продупчвам/започвам да точа питие от бъчва/развинтвам
broad,широк/обширен/общ/груб
broad beans,бакла
broad hint,ясен намек/подчертан акцент
broadcast,хвърлям семена/разпространявам/предавам по радиото/радиопредаване
broadcasting,радиопредаване
broaden,разширявам се
broadly,широко
brocade,брокат
brogue,груба обувка/алпинка/провинциален акцент/ирландски акцент
broke,счупих/разбих/прекъсвах/разорен
broken,счупен/разбит/разорен/прекъсван/нарушен
broken ground,пресечена местност/разорана земя
broken horse,обездан кон
broken numbers,дроби
broken stone,чакъл
broken-down,разклатен/разорен/сломен/съсипан/разрушен
broken-hearted,смазан от мъка
brokenly,с прекъсване/конвулсивно
broker,комисионер
brolly,чадър/парашут
bronchial,бронхиален
brooch,брошка
brood-hen,квачка
brook,ручей/поток/търпя/допускам
broom,метла/мета
broth,супа/бульон
brothel,публичен дом
brother,брат/събрат/другар
brotherly,братски/по братски
brought,донесен/доведен/носех/водех
browbeat,сплашвам/наплашвам/отнасям се надменно към
brown,кафяв/загорял/почернявам
brown bread,типов хляб
brown coal,лигнит
brown off,порицавам
brown study,унесеност/замечтаност
bruiser,боксьор/борец
brumous,мъглив
brunch,късна солидна закуска
brunette,брюнетка
brunt,главен удар/криза
brush,четка/опашка/четкам/сресвам
brush by,шмугвам се покрай
brush off,избягвам бързо
brush up,чистя(се)/нагласявам(се)/опреснявам знания
brushwood,храсталак/шубрак/млада гора
brushy,обрасъл с храсталак/груб
brusque,безцеремонен/рязък/отнасям се грубо със
brutal,груб/жесток/отвратителен
bubble,мехур/клокоча/кипя/пеня се
buccaneer,пират/пиратски/пиратствам
buck,самец/елен/долар
bucket,кофа/ведро/бутало/черпя вода/изтощавам
buckle,тока/катарама/закопчавам/заемам се енергично за/стягам се/превивам се
buckler,щит/защита/защитник
buckram,мушама/скованост/скован
buckshot,едри сачми
bucolic,пасторален/селски
bud,пъпка/напъпвам/покарвам
buddy,другар/приятел
budge,помръдвам се/отдръпвам се/отстъпвам
budget,бюджет/предвиждам в бюджета
buff,биволска кожа/тъмножълт цвят/остригвам ниско/полирам/смекчавам удар
buffalo,бивол/бизон
buffer,глупак/некадърник/буфер
buffet,бюфет/удар/бруля/удрям
buffoon,лала/шут/палячо/играя ролята на шут
bug,дървеница/насекомо
buggy,лека едноместна или двуместна кола
bugle,ловджийски рог/войнишка тръба/тръбя
build,строя/изграждам/създавам/форма/стил
build into,вграждам
build up,зазиждам/запушвам прозорец/застроявам/изграждам/създавам
builder,строител
building,строеж/сграда/строителство/изграждане
built,строях/създавах/изградих/построен/изграден
bulb,луковица/ел.крушка/разширявам се/издувам се
bulging,издут/изпъкнал/издаден
bulgy,издут/изпъкнал/издаден
bulk,обем/маса/големина/корпус/налагам се/установявам
bulk cargo,насипен товар/наливен товар
bulk up,събира се/равнява се
bulky,обемист/неудобен
bull,бик/бивол/спекулирам на борсата/нелепост/папско послание
bull-dog,булдог
bullet,куршум
bulletin,бюлетин
bullion,кюлче злато(сребро)
bullock,вол
bully,плаша/тормозя/побойник
bulrush,папур/тръстика
bulwark,насип/крепостна стена/опора/защита/перила/укрепвам със стена
bum,безделник/нехранимайко/нищо и никакъв/негоден/пиянствувам
bumbailiff,съдебен пристав
bumble-bee,земна пчела
bumbledom,бюрокрация
bummer,лентяй
bump,сблъсквам се/удар/подутина/оток/внезапно
bump off,пречуквам
bumper,пълна чаша/много голям/необикновен
bumpkin,дървеняк
bumpy,неравен/изровен/с дупки
bun,кифличка
bunch,китка/куп/грозд/връзка/образувам китка/събирам се на куп
bunchy,изпъкнал/гърбав/растящ на китки
bundle,пакет/вързоп
bundle in,наблъсквам/напъхвам
bundle up,свързвам на вързоп
bung,канела/чеп
bung up,затиквам/запушвам
bungalow,едностайна вила/бунгало
bungler,лош работник/нескопосник
bunk,място за спане/бягство/избягвам/изпарявам се
bunker,бункер/товаря/попадам в дупка/изпадам в затруднение
bunkum,голи фрази/дрън-дрън
buoy,шамандура
buoyant,способен да се държи на повърхността/лек/жизнерадостен
bur,бодил/репей/натрапничав човек/лепка
burberry,непромокаемо палто
burden,товар/бреме/скръб/мъка/тонаж на кораб/натоварвам/отежнявам/припев/тема
burdock,репей
bureau,бюро/отдел/комитет
bureaucracy,бюрокрация/бюрократизъм
burgeon,пъпка/издънка/кълн/напъпвам/кълня
burgess,гражданин
burgh,град
burgher,гражданин
burglar,нощен крадец
burgle,извършвам кражба с взлом
burial,погребение
burlap,грубо конопено платно/зебло
burlesque,пародия/карикатура/фарс/пародирам/имитирам
burly,снажен/пълен/як
burn,горя/изгарям/изгорено място
burn away,изгарям
burn down,изгарям до основи
burn low,догарям
burn out,догарям/изгарям
burn up,пламвам/подпалвам/запалвам/изгарям
burner,горелка/тръбичка
burning,горене/обгаряне/изгаряне/горящ
burnish,полирам/лъскам/полировка
burnt,горях/изгарях/изгорен
burnt lime,негасена вар
burr,мъгляв пръстен около луната/грапав ръб на рязан метал/воденичен камък/бодил
burrow,дупка/пробивам дупка/ровя се
bursary,канцелария на касиера/каса/стипендия
burst,избухвам/пръсвам(се)/избухване/взрив/изблик/избухнах
burst out,избухвам
burst up,претърпявам неуспех
bursting,избухване/напукване/пукнатина/напращял
bury,заравям/погребвам/скривам
bus,автобус/пътувам с автобус
busess,заетост/деловитост
bush,храст/гъсталак/залесявам/втулка/букса/поставям втулка
bushel,бушел-мярка за обем равна на около 36.3 литра
bushy,покрит с храсти/рунтав
business,работа/занятие/търговия
businessman,търговец/делови човек
busk,банел
bust,бюст/разорявам се/банкрут
bustard,дропла
buster,нещо изключително/гуляй
bustle,бързам/суетя се/суетене/бързане
bustling,припрян/шумен/оживен
busy,зает/деен/оживен/прилежен/заангажирам
but,обаче/но/само/едва/освен/ала/с изключение на
but a moment ago,само преди една минута
but for you,ако да не беше ти
but just,едва-що
but once,само веднъж
but then,но пък/от друга страна
butcher,месар/касапин/коля
butcherly,жесток/кръвожаден
butchery,кланица/клане/търговия с месо
butler,иконом
butt,натъквам се/блъскам се с глава/бъчва/мишена/запушалка/приклад/калкан
butt in,пъхам се/намесвам се
butter,масло/намазвам с масло
butter-fingers,несръчен човек
buttercup,лютиче
butterfly,пеперуда
buttery,маслен/стая за провизии
buttock,бут/кълка
button,копче/бутон/закопчавам
button-hole,петлица/цвете на петлицата/дърпам за яката
buttress,подпора/опора/подпирам/поддържам
butty,другар/ръководител на група работници
buxom,приятна/пълна
buy,купувам/покупка
buy in,закупувам/изкупувам
buy in bulk,продавам на цяло
buy off,откупувам
buy out,изкупувам
buy over,подкупвам/примамвам на своя страна
buy up,закупвам
buyer,купувач/клиент
buzz,бръмча/бръмчене
buzz off,отивам си/отдалечавам се
by,до/при/през/от/с/покрай/чрез/близо до/по
by Jove,бога ми
by accident,случайно/злополука/несъществено обстоятелство
by air,със самолет/по въздуха
by all means,непременно
by and by,скоро/след малко
by and large,изобщо
by birth,по рождение
by blow,страничен удар/непредвиден случай/извънбрачно дете
by chance,случайно
by day,денем
by deputy,чрез пълномощник
by guess,наслуки
by halves,наполовина
by heart,наизуст
by hook or by crook,без оглед на средствата
by indirection,косвено
by main force,със сила
by means of,чрез/посредством/среден
by my troth,честна дума
by no manner,в никакъв случай
by no means,в никакъв случай
by nomanner of means,в никакъв случай
by now,вече
by order,по заповед/поръчка/стил/орден
by proxy,задочно
by reason of,поради
by return of post,с обратна поща
by rights,по право
by rotation,по ред
by rote,на изуст/като папагал
by stealth,крадешком
by the by,между другото
by the job,на акорд/работя(нередовно)/давам под наем/работя на парче
by the metre,на метър
by the same token,освен това/също така/по същата причина
by the way,между другото/по пътя
by then,дотогава
by tomorrow,до утре
by train,с влак
by virtue of,по силата на
by word of mouth,устно
by-name,прозвище/прякор
by-work,странична работа
bye-bye,нани-нани/довиждане
bypass,околен път/задминавам/пренебрегвам/не обръщам внимание на
byre,краварник
byword,поговорка/нарицателно/олицетворение
bz,
cab,файтон/кабина/такси
cabal,интрига/политическа клика/конспирация
cabbage,зеле
cabin,тел.будка/каюта/колиба/кабина/затварям на тясно
cabinet,кабинет/правителство/шкаф/кабинетен/министерски
cable,кабел/дебело въже/телеграма/телеграфирам
cackle,крякам
cad,простак/грубиян
cadaverous,мъртвешки/блед като мъртвец
caddish,невъзпитан
cadence,ритъм/напевност
cadge,прося/изпросвам
cadger,амбулантен търговец/просяк
cafe,кафене/сладкарница/ресторант
cafeteriaa,аператив/ресторант
cage,клетка/кафез/затварям в клетка
cairn,пирамида/грамада
caitiff,страхливец/подлец
cajole,предумвам/измамвам
cake,кейк/торта/калъп/парче/спичам(се)/втвърдявам(се)
calamitous,бедствен
calamity,бедствие
calculable,изчислим
calculate,изчислявам/пресмятам/предвиждам/предполагам
calculating,пресметлив/разсъдлив
calculation,изчисление/преценка
calendar,календар/регистрирам
calf,теле/прасец на крак
calico,хасе/басма
call,викам/наричам/свиквам/посещавам/повикване/зов/влечение/посещениие
call at,наминавам у
call for,изисквам/апелирам за/отивам да взема
call in,извиквам(лекар)
call in question,поставям под съмнение
call into being,създавам/извиквам на живот
call it a day,свършвам работата си/не искам нищо повече
call off,отзовавам/отменям
call on,посещавам/обръщам се към/призовавам
call out,извиквам/обаждам се
call the roll,извиквам по списък
call to account,искам сметка от
call to mind,припомням
call to order,подканвам към ред
call up,повиквам/викам по телефона/извиквам/събуждам представа
call-box,телефонна будка
caller,посетител/гост
calling,професия
callous,мазолест/загрубял/безчувствен
callousness,грубост
callow,незрял/гол/неразвит/неопитен
calluminate,клеветя
callumniator,клеветник
callumnious,клевтнически
callumny,клевета
calm,тих/спокоен/затишие/покой/успокоявам(се)/утихвам
calm down,успокоявам се
calmly,спокойно
calmness,спокойствие/тишина
calorie,калория
calorific,калоричен
calve,отелвам се
calves,телета
calyx,чашка на цвете
cambric,батиста
came,идвах/дохождах/достигах
camel,камила
camera,фотоапарат/камера
cameraman,кинооператор/фоторепортер
camomile,лайкучка
camp,лагер/стан/лагерувам
campaign,кампания/поход/провеждам кампания
campanula,камбанка/звънче
camphor,камфор
camping-site,къмпинг
can,мога/в състояние съм/кана/гюм/консервирам
can you beat it,можеш ли да си представиш такова нещо
can't,не мога
canal,канал(изкуствен)/канализирам
canary,канарче/светложълт
cancel,задрасквам/отменям/съкращавам
cancellation,анулиране/отменяне/зачеркване
cancer,рак/язва/зло
cancerous,раков/ракообразен
candelabrum,разклонен свещник
candescent,нажежен до бяло
candid,откровен/искрен/открит/непредубеден
candidate,кандидат
candied,захаросан/подсладен
candle,свещ
candour,откровеност/искреност/непосредственост
candy,бонбон/захаросвам(се)/кристализирам
cane,тръстика/бастун
canine,кучешки
canine teeth,кучешки зъби
canister,метална кутия за чай
canker,болест по дърветата/язва/разяждам
cannery,консервна фабрика
cannibal,човекоядец
cannibalism,човекоядство
cannikin,тенекиена кутийка
cannon,оръдие/топ
cannot but,не мога да не
canny,хитър/предпазлив
canoe,кану/плувам с кану
canon,правило/канон
canopy,балдахин/свод/покров/навес
cantankerous,заядлив/опак
canteen,лавка/стол/бюфет
canter,лек галоп/галопирам
canvas,платнище/брезент/канава/платно за рисуване/рисунка с маслени бои
canvass,обсъждам/разисквам/агитирам/обсъждане/агитация
canyon,каньон
cap,каскет/барета/кепе/калпак/капак/покривам/завършвам/превъзхождам
capability,способност
capable,способен/надарен/опитен
capacious,просторен
capacity,способност/вместимост/обем/мощност
caparison,чул за кон
cape,нос/пелерина
capillary,тънък като косъм/капилярен съд
capital,главен/основен/углавен/превъзходен/столица/капитал/капител
capitalist,капиталист/капиталистически
capitation,данък на глава
caprice,каприз/прищявка
capricious,капризен/непостоянен
capsicum,чушка/червен пипер
capsize,катурвам(се)/преобръщам(се)
capsule,капсула/шушулка
captain,капитан/военачалник/ръководя
caption,подзаглавие/заглавие/озаглавявам/арест
captious,придирчив/заядлив/критичен
captivate,пленявам/очаровам
captivating,очарователен
captive,пленен/поробен/пленник
captivity,плен/робство
capture,пленявам/залавям/улавям/пленяване/заграбване
car,кола/автомобил/вагон
caravan,керван/фургон
caraway,кимион
carbide,карбид
carbine,карабина
carbon,въглерод/индиго/кокс/въглероден
carbon dioxide,въглероден двуокис
carbon-paper,индиго
carbonic,въглероден
carbonize,овъглявам
carbuncle,гранат
carburettor,карбуратор
carcase,труп/леш/скелет
carcass,труп/леш/скелет
card,картичка/фиш/карта за игра/кардирам/телена четка за кардиране
cardboard,картон/мукава
cardiac,сърдечен/средство стимулиращо сърдечната дейност
cardigan,плетена вълнена жилетка
cardinal,главен/основен/кардинал
care,грижа/внимание/грижа се/безпокоя се/интересувам се
care for,грижа се/обичам
care-worn,измъчен от грижи
career,кариера/устрем/професионален/тичам бързо
careful,грижлив/внимателен/точен/практичен
careless,нехаен/лекомислен
carelessness,нехайство/небрежност/безразличие
caress,ласка/целувка/галя/милвам/лаская
caressing,гальовен/ласкав
